contaminant of concern (inorganic),mean,std,count,effect_size,ci_lower,ci_upper
As,-inf,,28,0.0,,
Cd,-inf,,80,0.0,,
Co,-2.9454797015790057,0.9489977843848293,13,0.05257683257637817,0.03138702231250684,0.08807217506144241
Cr,-5.731508867961403,2.881937847182925,72,0.0032421815172282227,0.001666211908140132,0.006308765973464787
Cr ,-2.2114243145970685,2.40500973272724,2,0.10954451150103321,0.003908515093397249,3.0702196904066956
Cu,-3.365950933956699,3.7796419714154377,53,0.03452916554510366,0.012481203463953832,0.0955247045434739
DO,-3.0875999335946545,0.24602947543338813,5,0.04561129327455437,0.036763334442658474,0.05658872095571995
Do,-2.074163367991867,0.07992699477210666,3,0.12566151597332817,0.11479477879527344,0.1375569234283431
Hg,-1.8821938570652954,3.734411482599073,10,0.1522557118156503,0.015043548149265019,1.5409796645363185
Ni,-inf,,52,0.0,,
Pb,-5.474738600412343,2.8462739331535376,87,0.00419132401717083,0.002304624116737529,0.007622586646269018
Zn,-3.9157930732357045,2.2036814789911756,60,0.019924740599511378,0.011408444841583733,0.03479837028363153
cu,-3.4122806582662326,0.04043991269977672,4,0.03296593055411975,0.031685003912928,0.03429864109486926
pb,-4.338291241166074,,1,0.013058823529411765,,
